Id,Prices,Volumes,Market_Cap,Date
bitcoin,66237.51755029388,40790757381.601654,1250376460615.7495,2021-10-21
bitcoin,62541.08693293518,48709960685.53348,1178926819140.8179,2021-10-22
bitcoin,61029.27093182092,40766460604.96904,1151508584004.7793,2021-10-23
bitcoin,61572.14043422243,28505039147.788773,1161166467847.4336,2021-10-24
bitcoin,61173.1663907232,29982535557.40278,1153315262663.0586,2021-10-25
bitcoin,63228.21382584213,30852852368.02752,1192131994832.5864,2021-10-26
bitcoin,60604.18888794746,33233702858.09473,1143497865064.6724,2021-10-27
bitcoin,58641.00147419492,43976252157.068634,1105754837660.925,2021-10-28
bitcoin,60767.55585206728,52318597556.794624,1145912030969.1882,2021-10-29
bitcoin,62283.19805587354,38648967244.95182,1178047465292.3657,2021-10-30
bitcoin,61837.257002978935,31810216329.529858,1166423768409.5984,2021-10-31
bitcoin,61471.86846276259,32494948460.791386,1159841954948.4832,2021-11-01
bitcoin,61121.83120106507,35834742028.38199,1152831210803.7048,2021-11-02
bitcoin,63247.20896127831,37335066460.155334,1186951581189.4705,2021-11-03
bitcoin,63130.94235171542,36561444796.93016,1187048124213.9268,2021-11-04
bitcoin,61601.74357204975,33152275947.43255,1157101738112.7314,2021-11-05
bitcoin,61247.38494217787,31182137447.967434,1154530569293.3604,2021-11-06
bitcoin,61661.35866372036,31423601393.173405,1162489871875.4807,2021-11-07
bitcoin,63153.230193019495,24877902989.784378,1191631271447.797,2021-11-08
bitcoin,67617.0155448617,105426313891.40913,1278797895528.3608,2021-11-09
bitcoin,67145.37493537061,41207912437.79217,1268116896159.246,2021-11-10
bitcoin,65061.05440696283,48648563669.37678,1221681091090.6301,2021-11-11
bitcoin,65005.64515956679,35457583783.213585,1228606858156.6921,2021-11-12
bitcoin,64432.04794734522,36872626217.741356,1215930166022.9006,2021-11-13
bitcoin,64660.33535267343,29677693457.31651,1220299721850.586,2021-11-14
bitcoin,65648.97779110243,26088449436.717113,1239021452560.904,2021-11-15
bitcoin,63933.835442599324,32107212452.298412,1206711952537.9358,2021-11-16
bitcoin,60448.56251258625,48978396010.968155,1141910823555.9597,2021-11-17
bitcoin,60603.65586738653,39200729529.48786,1138136620641.4888,2021-11-18
bitcoin,56987.32233855049,41828523861.71753,1075758915731.0365,2021-11-19
bitcoin,58459.25551667463,37851259606.14217,1103594176399.3167,2021-11-20
bitcoin,60082.91166841709,29676550711.713173,1134300362589.2896,2021-11-21
bitcoin,59139.779279527174,25743426946.961926,1120610791475.7502,2021-11-22
bitcoin,56386.856853152145,34001467918.52828,1064619437494.1869,2021-11-23
bitcoin,57748.79317378856,36421192856.53637,1090380950871.23,2021-11-24
bitcoin,57198.18384629529,31695369987.85105,1080039673037.4923,2021-11-25
bitcoin,58897.84698299794,33721097081.419792,1112182356756.767,2021-11-26
bitcoin,53827.792865034724,41325811946.27098,1016487054819.7161,2021-11-27
bitcoin,54533.40388242691,28256851067.70268,1030781591912.8181,2021-11-28
bitcoin,57237.66113709043,27659464986.73885,1080980050980.763,2021-11-29
bitcoin,57848.77353712989,30985196646.76598,1092574224475.6908,2021-11-30
bitcoin,57011.28047424234,35723038603.83064,1076804436724.3245,2021-12-01
bitcoin,57169.37199381056,49383073891.00049,1079838995016.5873,2021-12-02
bitcoin,56508.26805402271,36296342256.75686,1067406204922.5636,2021-12-03
bitcoin,53785.96717237922,39527112725.92275,1016040747069.7008,2021-12-04
bitcoin,49161.99070957517,55941408415.03649,930097457941.656,2021-12-05
bitcoin,49268.46989053938,32826574574.44167,932015145132.0604,2021-12-06
bitcoin,50461.57683653979,36126018721.826546,953396710269.5476,2021-12-07
bitcoin,50647.66340635755,30083305919.5604,956961313925.818,2021-12-08
bitcoin,50530.4580645934,26590164539.05959,954800139986.473,2021-12-09
bitcoin,47885.871989417064,27269362515.246876,904878061656.8508,2021-12-10
bitcoin,47303.56415217411,29611257204.740986,893919955029.865,2021-12-11
bitcoin,49242.302324071476,24619129766.774235,930603779263.9766,2021-12-12
bitcoin,50051.078348674855,19871029748.355583,945932497231.4797,2021-12-13
bitcoin,46696.30469946678,29628245402.124134,882570058436.5184,2021-12-14
bitcoin,48410.564656309325,30152105689.95273,915015634616.989,2021-12-15
bitcoin,48936.86258244155,33782603071.208714,925006387197.2257,2021-12-16
bitcoin,47694.530502251764,24699414443.565502,901558072618.6224,2021-12-17
bitcoin,46328.6963654447,30617760444.44956,875783175210.4042,2021-12-18
bitcoin,46970.057050727024,23305069269.64378,887944269264.0427,2021-12-19
bitcoin,46807.04861642627,23002876885.701263,884905649263.6449,2021-12-20
bitcoin,47117.008204210455,29356191956.181854,890808857615.3627,2021-12-21
bitcoin,49145.21725849885,25764127608.31085,929203956014.2224,2021-12-22
bitcoin,48755.89564404483,21887790445.928295,921888029984.8673,2021-12-23
bitcoin,50900.61494951601,26419703744.656948,960809259355.0854,2021-12-24
bitcoin,50888.72103678683,22535489970.197155,962312381228.0947,2021-12-25
bitcoin,50663.48710213215,17235296605.82555,958099737762.7762,2021-12-26
bitcoin,50852.860259540656,19632044502.131416,961723851972.3851,2021-12-27
bitcoin,50774.067814743,22793878136.833546,960280703699.8921,2021-12-28
bitcoin,47725.14804631933,29538983233.48695,902655839568.4547,2021-12-29
bitcoin,46506.99464767938,26348739119.378136,874314106559.5542,2021-12-30
bitcoin,47191.86838983951,23753871435.216618,892648631305.5416,2021-12-31
bitcoin,46319.65108805251,25895349604.886154,876192941903.0961,2022-01-01
bitcoin,47816.07767640849,18904585811.03402,904551946917.3206,2022-01-02
bitcoin,47387.212167697246,33756128241.98571,897536090320.9355,2022-01-03
bitcoin,46531.140860530526,21890019531.577713,880330191985.1965,2022-01-04
